date,season,away_team,home_team,away_pts,home_pts,home_win,open_spread,close_spread,open_total,close_total,away_ml,home_ml,away_ml_prob,home_ml_prob,overround,home_fair_prob
2007-11-24,2008,Atlanta,Minnesota,94,87,0,192.0,190.0,3.5,4.5,-195,165,0.661,0.3774,1.0384,0.3634
2007-11-24,2008,Washington,Memphis,118,124,1,6.0,5.5,216.0,213.0,190,-230,0.3448,0.697,1.0418,0.669
2007-11-24,2008,Denver,Houston,81,109,1,5.0,6.0,200.5,200.5,210,-250,0.3226,0.7143,1.0369,0.6889
2007-11-24,2008,Dallas,Milwaukee,95,97,1,203.0,201.0,3.5,4.0,-175,155,0.6364,0.3922,1.0286,0.3813
2007-11-24,2008,NewOrleans,LAClippers,98,89,0,188.0,185.0,2.0,3.0,-150,130,0.6,0.4348,1.0348,0.4202
2007-11-25,2008,Chicago,Toronto,78,93,1,4.0,4.5,184.0,185.0,175,-205,0.3636,0.6721,1.0357,0.6489
2007-11-25,2008,Utah,Detroit,103,93,0,2.0,190.0,190.0,1.0,-120,100,0.5455,0.5,1.0455,0.4782
2007-11-25,2008,Cleveland,Indiana,111,106,0,2.0,2.0,201.5,205.0,110,-130,0.4762,0.5652,1.0414,0.5427
2007-11-25,2008,SanAntonio,Seattle,116,101,0,198.5,199.0,9.0,10.0,-600,475,0.8571,0.1739,1.031,0.1687
2007-11-25,2008,NewJersey,LALakers,102,100,0,6.5,6.5,196.0,199.5,240,-290,0.2941,0.7436,1.0377,0.7166
2007-11-26,2008,Utah,NewYork,109,113,1,198.0,194.0,6.0,5.5,-240,200,0.7059,0.3333,1.0392,0.3207
2007-11-26,2008,Minnesota,NewOrleans,103,94,0,11.0,10.5,183.5,188.0,600,-800,0.1429,0.8889,1.0318,0.8615
2007-11-26,2008,Washington,Dallas,110,98,0,12.0,12.0,209.5,208.0,750,-1100,0.1176,0.9167,1.0343,0.8863
2007-11-26,2008,SanAntonio,Sacramento,99,112,1,193.0,194.5,6.5,6.0,-260,220,0.7222,0.3125,1.0347,0.302
2007-11-26,2008,Orlando,Portland,85,74,0,197.0,203.0,4.0,5.0,-215,185,0.6825,0.3509,1.0334,0.3396
2007-11-26,2008,Houston,LAClippers,88,71,0,185.5,189.5,5.5,6.5,-275,235,0.7333,0.2985,1.0318,0.2893
2007-11-26,2008,Phoenix,GoldenState,114,129,1,228.0,229.5,4.5,5.0,-200,170,0.6667,0.3704,1.0371,0.3571
2007-11-27,2008,Boston,Cleveland,104,109,1,193.5,190.0,3.5,3.5,-165,145,0.6226,0.4082,1.0308,0.396
2007-11-27,2008,Memphis,NewJersey,110,103,0,5.0,5.5,204.5,206.0,200,-240,0.3333,0.7059,1.0392,0.6793
2007-11-27,2008,Charlotte,Miami,90,110,1,7.0,7.0,188.0,187.0,305,-365,0.2469,0.7849,1.0318,0.7607
2007-11-27,2008,Philadelphia,Milwaukee,114,99,0,8.0,6.0,185.5,187.0,225,-265,0.3077,0.726,1.0337,0.7023
2007-11-27,2008,Atlanta,Chicago,78,90,1,4.0,5.0,181.5,183.0,190,-230,0.3448,0.697,1.0418,0.669
2007-11-27,2008,Indiana,Denver,112,110,0,9.0,7.0,216.5,216.5,295,-355,0.2532,0.7802,1.0334,0.755
