date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo,elo_diff,log_odds,is_upset_game,home_b2b,away_b2b,b2b_advantage,home_win_float,home_recent_wr,point_diff,month
2004-11-06,2005,GSW,LAC,86,94,0,0.73106009,1471.0508,1397.3317,73.71910000000003,1.0000076833668843,0,1,1,0,0.0,,-8,11
2004-11-06,2005,DET,PHI,99,91,1,0.86743736,1647.2445,1420.9177,226.32680000000005,1.8784880057475752,0,1,1,0,1.0,,8,11
2004-11-06,2005,DEN,UTA,82,106,0,0.62953001,1534.5591,1542.4537,-7.894600000000082,0.5302010795998722,0,0,1,1,0.0,,-24,11
2004-11-06,2005,DAL,MEM,112,88,1,0.76928562,1614.8392,1505.634,109.20519999999988,1.2042818183680397,0,0,1,1,1.0,,24,11
2004-11-06,2005,CHA,ORL,111,100,1,0.54939246,1291.4047,1356.9709,-65.56619999999998,0.19821628618245,0,0,1,1,1.0,,11,11
2004-11-06,2005,HOU,SAC,104,101,1,0.55945492,1526.4694,1584.9595,-58.490099999999984,0.2389501719047211,0,1,0,-1,1.0,,3,11
2004-11-07,2005,SEA,SAS,113,94,1,0.37685859,1495.5317,1682.895,-187.36329999999998,-0.50290345273423,1,0,0,0,1.0,,19,11
2004-11-07,2005,TOR,POR,101,97,1,0.50315768,1433.4856,1531.2914,-97.80580000000009,0.012630885911559581,0,0,0,0,1.0,,4,11
2004-11-07,2005,LAL,ATL,106,90,1,0.84011924,1596.6007,1408.3828,188.21789999999987,1.6591155404923663,0,0,0,0,1.0,,16,11
2004-11-08,2005,DAL,GSW,101,98,1,0.82266128,1622.2001,1455.6331,166.567,1.5344829667327673,0,0,0,0,1.0,,3,11
2004-11-08,2005,LAC,DET,96,99,0,0.31319937,1412.7494,1649.1533,-236.40390000000002,-0.7852040951561664,1,0,0,0,0.0,,-3,11
2004-11-08,2005,UTA,DEN,102,91,1,0.71351141,1567.7651,1509.2477,58.51740000000018,0.9124997150074275,0,0,0,0,1.0,,11,11
2004-11-09,2005,NOH,LAL,98,106,0,0.44950277,1465.0447,1600.2538,-135.20910000000003,-0.202679909881975,1,0,0,0,0.0,,-8,11
2004-11-09,2005,SAC,TOR,108,92,1,0.79963952,1580.1919,1439.759,140.43290000000002,1.384042876951928,0,0,0,0,1.0,,16,11
2004-11-09,2005,ORL,DAL,94,84,1,0.26578063,1347.3134,1623.8344,-276.52099999999996,-1.0161365852517388,1,0,1,1,1.0,,10,11
2004-11-09,2005,NYK,PHI,96,88,1,0.63718617,1416.8419,1419.0089,-2.1670000000001437,0.5631720330218345,0,0,0,0,1.0,,8,11
2004-11-09,2005,NJN,POR,64,60,1,0.60414636,1498.4609,1525.0179,-26.557000000000016,0.42277193695772347,0,0,0,0,1.0,,4,11
2004-11-09,2005,DEN,SEA,88,108,0,0.62256235,1503.6484,1516.7134,-13.065000000000055,0.5004383918314148,0,1,0,-1,0.0,,-20,11
2004-11-09,2005,MIA,WAS,103,93,1,0.83822519,1579.5994,1393.8195,185.7799,1.6450814748794853,0,0,0,0,1.0,,10,11
2004-11-09,2005,HOU,MEM,90,87,1,0.68252516,1531.2369,1498.2732,32.96370000000002,0.7654008166003662,0,0,0,0,1.0,,3,11
2004-11-09,2005,CHI,PHO,74,94,0,0.40968299,1352.6312,1516.0862,-163.45499999999993,-0.36527603387493923,1,0,0,0,0.0,,-20,11
2004-11-09,2005,ATL,CLE,79,93,0,0.59877181,1404.7297,1435.1818,-30.452099999999973,0.4003502536298918,0,0,0,0,0.0,,-14,11
2004-11-09,2005,MIN,IND,101,102,0,0.62637222,1621.8217,1632.0643,-10.242600000000039,0.516684731165687,0,0,0,0,0.0,,-1,11
2004-11-10,2005,WAS,ORL,106,96,1,0.67381251,1391.0867,1365.058,26.02870000000007,0.7254795553281214,0,1,1,0,1.0,,10,11
2004-11-10,2005,UTA,TOR,95,104,0,0.79769313,1573.3644,1435.0343,138.3300999999999,1.3719382666135342,0,0,1,1,0.0,,-9,11
2004-11-10,2005,SEA,SAC,108,78,1,0.57669437,1538.6333,1584.9166,-46.283300000000054,0.30921798807158407,0,1,1,0,1.0,,30,11
2004-11-10,2005,SAS,GSW,91,71,1,0.85462517,1661.7134,1453.9988,207.71460000000002,1.7713475268241878,0,0,0,0,1.0,,20,11
2004-11-10,2005,PHI,NJN,108,100,1,0.51396835,1412.8989,1503.1902,-90.29130000000009,0.05588794038948374,0,1,1,0,1.0,,8,11
2004-11-10,2005,MEM,LAL,110,87,1,0.48111656,1495.0647,1608.1925,-113.1278000000002,-0.07556970489685255,1,1,1,0,1.0,,23,11
2004-11-10,2005,IND,LAC,68,102,0,0.86849332,1637.5195,1409.592,227.9275,1.8877022378187045,0,1,0,-1,0.0,,-34,11
2004-11-10,2005,CLE,PHO,114,109,1,0.5325247,1451.4917,1528.8593,-77.36760000000004,0.1302827662368397,0,1,1,0,1.0,,5,11
2004-11-10,2005,BOS,POR,90,88,1,0.55601776,1459.3779,1520.2887,-60.91080000000011,0.2250156723019307,0,0,1,1,1.0,,2,11
2004-11-10,2005,MIL,CHA,102,100,1,0.84179121,1491.4518,1301.0623,190.3895,1.671616391681975,0,0,0,0,1.0,,2,11
2004-11-11,2005,DEN,DET,117,109,1,0.39979878,1481.7285,1652.3107,-170.58220000000006,-0.4063035967902092,1,0,0,0,1.0,0.3333333333333333,8,11
2004-11-11,2005,HOU,MIN,91,96,0,0.5259943,1534.4454,1616.3665,-81.92110000000002,0.10407102712818558,0,0,0,0,0.0,,-5,11
2004-11-11,2005,MIA,DAL,93,113,0,0.60799372,1582.3322,1606.0897,-23.757499999999936,0.4388866903441745,0,0,0,0,0.0,,-20,11
2004-11-12,2005,SEA,TOR,88,87,1,0.76200897,1556.3817,1454.2219,102.1597999999999,1.1637253391834719,0,0,0,0,1.0,1.0,1,11
2004-11-12,2005,SAS,MIA,93,84,1,0.7643553,1665.5352,1561.1201,104.41509999999994,1.1767075670411071,0,0,1,1,1.0,,9,11
2004-11-12,2005,ORL,LAL,122,113,1,0.32076299,1358.908,1589.2428,-230.3348000000001,-0.7502676240554141,1,0,0,0,1.0,,9,11
2004-11-12,2005,PHI,IND,106,104,1,0.41528139,1421.6566,1581.0984,-159.44180000000006,-0.3421743860206995,1,0,0,0,1.0,,2,11
2004-11-12,2005,NOH,ATL,95,96,0,0.72532588,1457.106,1388.4198,68.6862000000001,0.971035663083436,0,0,0,0,0.0,0.0,-1,11
2004-11-12,2005,MEM,GSW,96,67,1,0.71973026,1514.0144,1450.177,63.837400000000116,0.9431240027771236,0,0,0,0,1.0,0.3333333333333333,29,11
2004-11-12,2005,BOS,CHA,91,74,1,0.82025498,1463.5383,1299.8215,163.71679999999992,1.5180759465077382,0,0,0,0,1.0,0.3333333333333333,17,11
2004-11-12,2005,NYK,LAC,110,96,1,0.58121562,1422.9519,1466.0132,-43.061300000000074,0.3277656231156004,0,0,0,0,1.0,,14,11
2004-11-13,2005,UTA,DET,108,93,1,0.51929921,1554.1768,1640.7596,-86.58280000000013,0.07723520915495628,0,0,0,0,1.0,0.6666666666666666,15,11
2004-11-13,2005,POR,TOR,105,102,1,0.71941078,1516.1283,1452.5659,63.562400000000025,0.9415407630408302,0,0,1,1,1.0,,3,11
2004-11-13,2005,NJN,DAL,78,94,0,0.45283794,1494.4325,1627.3018,-132.86930000000007,-0.18921071780540497,1,0,0,0,0.0,0.3333333333333333,-16,11
2004-11-13,2005,MIL,NOH,94,91,1,0.69413376,1492.6925,1450.3279,42.36460000000011,0.8195167942152809,0,0,1,1,1.0,,3,11
2004-11-13,2005,IND,NYK,103,97,1,0.80099887,1575.1656,1433.2551,141.91049999999996,1.3925490282053579,0,1,1,0,1.0,,6,11
2004-11-13,2005,PHO,SAC,111,113,0,0.57881731,1522.3966,1567.1682,-44.771600000000035,0.31792021609016596,0,0,0,0,0.0,,-2,11
2004-11-13,2005,CLE,WAS,105,74,1,0.71609336,1457.9543,1397.2367,60.717600000000175,0.9251650942771361,0,0,0,0,1.0,,31,11
2004-11-13,2005,CHI,LAC,96,97,0,0.47720322,1339.8582,1455.71,-115.85180000000014,-0.09125038660493025,1,0,1,1,0.0,,-1,11
2004-11-13,2005,CHA,GSW,87,103,0,0.43682927,1295.4733,1439.6046,-144.13129999999978,-0.2540404021293975,1,1,1,0,0.0,,-16,11
2004-11-13,2005,ATL,SAS,88,103,0,0.26830557,1395.1979,1669.4779,-274.2800000000002,-1.0032364652592578,1,1,1,0,0.0,,-15,11
2004-11-13,2005,HOU,LAL,79,84,0,0.57491797,1526.9336,1574.4803,-47.54669999999987,0.30194520533351976,0,0,1,1,0.0,0.6666666666666666,-5,11
2004-11-14,2005,MIA,MIL,112,110,1,0.71690828,1557.1774,1495.7628,61.414600000000064,0.9291769629132497,0,0,1,1,1.0,0.6666666666666666,2,11
2004-11-14,2005,PHI,ORL,96,87,1,0.70806998,1427.5894,1373.6704,53.919000000000096,0.886028811180042,0,0,0,0,1.0,0.6666666666666666,9,11
2004-11-14,2005,SAC,DEN,101,89,1,0.73782045,1573.0203,1493.2795,79.74079999999981,1.03467092411277,0,1,0,-1,1.0,,12,11
2004-11-14,2005,SEA,MEM,118,113,1,0.68313253,1558.0377,1524.5868,33.45090000000005,0.7682052678374988,0,0,0,0,1.0,1.0,5,11
2004-11-14,2005,WAS,DAL,113,122,0,0.29214537,1385.97,1639.708,-253.73800000000006,-0.8849872283140583,1,1,1,0,0.0,,-9,11
2004-11-15,2005,CLE,GSW,99,88,1,0.66325653,1469.2211,1451.4681,17.75299999999993,0.6778404115950664,0,0,0,0,1.0,0.6666666666666666,11,11
2004-11-15,2005,NJN,HOU,69,80,0,0.59043396,1482.0262,1518.4873,-36.46109999999999,0.3657596293838159,0,0,0,0,0.0,0.25,-11,11
2004-11-16,2005,SAC,CHI,113,106,1,0.87766171,1578.3547,1336.0488,242.30590000000007,1.970471138811062,0,0,0,0,1.0,,7,11
2004-11-16,2005,SAS,NYK,99,81,1,0.87940383,1675.8185,1430.6765,245.14200000000005,1.9867966777757862,0,0,0,0,1.0,1.0,18,11
2004-11-16,2005,MIN,MIA,108,97,1,0.72024167,1623.8783,1559.6002,64.2781,0.9456606815596146,0,0,0,0,1.0,0.6666666666666666,11,11
2004-11-16,2005,PHI,SEA,95,103,0,0.45776501,1432.6494,1562.0674,-129.4179999999999,-0.16934349636741164,1,0,0,0,0.0,0.75,-8,11
2004-11-16,2005,DAL,PHO,101,107,0,0.7881459,1644.7725,1516.5446,128.2279000000001,1.3137853900820238,0,0,0,0,0.0,1.0,-6,11
2004-11-16,2005,LAC,TOR,101,89,1,0.65286195,1459.5193,1449.7916,9.727699999999913,0.6316431557168678,0,0,0,0,1.0,,12,11
2004-11-16,2005,CHA,UTA,105,107,0,0.2581546,1283.6097,1566.9832,-283.3734999999999,-1.0555822367468137,1,0,0,0,0.0,0.3333333333333333,-2,11
2004-11-16,2005,ATL,HOU,88,84,1,0.43796533,1388.8573,1532.1866,-143.3293000000001,-0.2494237881692636,1,0,1,1,1.0,,4,11
2004-11-17,2005,WAS,BOS,110,105,1,0.51872694,1380.9055,1467.8866,-86.98109999999997,0.07494281412983901,0,0,0,0,1.0,0.3333333333333333,5,11
2004-11-17,2005,POR,MEM,82,101,0,0.63786787,1518.9026,1520.5571,-1.6545000000000982,0.5661220135921802,0,0,0,0,0.0,,-19,11
2004-11-17,2005,ORL,UTA,107,92,1,0.35920814,1368.6104,1569.1587,-200.54829999999993,-0.5788026967214152,1,0,1,1,1.0,1.0,15,11
2004-11-17,2005,NOH,PHO,84,95,0,0.52272439,1447.2576,1531.4562,-84.19860000000017,0.09096022133092685,0,0,1,1,0.0,0.0,-11,11
2004-11-17,2005,MIL,MIA,106,113,0,0.55615413,1493.34,1554.1548,-60.814800000000105,0.22556810328588037,0,0,1,1,0.0,1.0,-7,11
2004-11-17,2005,NJN,SEA,68,79,0,0.49732083,1468.3269,1570.1886,-101.86169999999993,-0.010716784556191869,1,0,1,1,0.0,0.2,-11,11
2004-11-17,2005,IND,ATL,93,86,1,0.83487439,1577.7443,1396.2216,181.5227,1.620574819334488,0,0,1,1,1.0,0.6666666666666666,7,11
2004-11-17,2005,GSW,CHI,98,85,1,0.7703591,1444.6906,1334.433,110.25759999999991,1.2103399809461466,0,0,1,1,1.0,0.0,13,11
2004-11-17,2005,DET,MIN,93,85,1,0.63824564,1627.9534,1629.3237,-1.3702999999998156,0.5677578041935261,0,0,1,1,1.0,,8,11
2004-11-17,2005,DEN,TOR,112,106,1,0.69804955,1487.9451,1442.3649,45.58019999999988,0.8380271544039204,0,0,1,1,1.0,0.5,6,11
2004-11-17,2005,LAL,LAC,103,89,1,0.77613515,1582.9266,1466.946,115.9806000000001,1.2432841413698918,0,0,1,1,1.0,0.6666666666666666,14,11
2004-11-18,2005,CHA,CLE,89,106,0,0.36717469,1281.4342,1475.9987,-194.56450000000018,-0.5443566847177413,1,0,0,0,0.0,0.25,-17,11
2004-11-18,2005,HOU,NYK,92,93,0,0.75660658,1524.8224,1427.7979,97.02449999999999,1.1341642583554081,0,0,0,0,0.0,0.5,-1,11
2004-11-18,2005,PHI,SAS,80,88,0,0.29163265,1424.5282,1678.6971,-254.16890000000012,-0.887467854161988,1,0,0,0,0.0,0.6,-8,11
2004-11-19,2005,PHO,LAL,107,102,1,0.5788877,1543.1154,1587.8368,-44.72140000000013,0.31820895733635374,0,0,0,0,1.0,,5,11
2004-11-19,2005,SAC,MEM,107,105,1,0.68818653,1579.9706,1542.446,37.52460000000019,0.7916547607059055,0,0,0,0,1.0,1.0,2,11
2004-11-19,2005,POR,MIL,110,98,1,0.65755188,1497.0137,1483.6796,13.334100000000035,0.6524034911855918,0,0,0,0,1.0,0.6666666666666666,12,11
2004-11-19,2005,MIA,UTA,107,105,1,0.65766376,1563.8152,1550.3948,13.420399999999972,0.6529003827839913,0,0,0,0,1.0,0.75,2,11
2004-11-19,2005,TOR,SEA,94,101,0,0.43851373,1438.1823,1581.1246,-142.94230000000016,-0.2471962006902379,1,0,0,0,0.0,1.0,-7,11
2004-11-19,2005,DEN,CHI,99,81,1,0.81923002,1492.1277,1329.6158,162.51189999999997,1.5111394992408038,0,0,0,0,1.0,0.6,18,11
2004-11-19,2005,DAL,NYK,103,101,1,0.84514487,1629.8608,1435.0586,194.80219999999986,1.6970180152868815,0,0,1,1,1.0,0.75,2,11
2004-11-19,2005,BOS,SAS,84,92,0,0.33101338,1461.1826,1683.4114,-222.22879999999986,-0.7036052639022217,1,0,1,1,0.0,0.5,-8,11
2004-11-19,2005,DET,IND,82,97,0,0.70820212,1634.0419,1580.0118,54.03009999999995,0.8866681589388312,0,0,0,0,0.0,1.0,-15,11
2004-11-20,2005,ATL,UTA,79,92,0,0.42373985,1393.954,1547.3617,-153.40769999999998,-0.30743950416849913,1,0,1,1,0.0,0.3333333333333333,-13,11
2004-11-20,2005,CLE,CHA,100,84,1,0.85945576,1485.9985,1271.4343,214.56420000000003,1.8107770299412955,0,0,0,0,1.0,0.75,16,11
2004-11-20,2005,GSW,MEM,87,100,0,0.51406544,1449.5077,1539.7314,-90.22369999999978,0.056276605839903376,0,0,1,1,0.0,0.25,-13,11
2004-11-20,2005,IND,ORL,83,86,0,0.85933274,1601.7616,1387.3743,214.3873000000001,1.809758953895606,0,1,0,-1,0.0,0.75,-3,11
2004-11-20,2005,LAC,HOU,86,91,0,0.56365627,1462.0359,1517.5616,-55.525699999999915,0.2560143087542747,0,0,0,0,0.0,0.6666666666666666,-5,11
2004-11-20,2005,NJN,WAS,86,97,0,0.72658014,1457.3909,1387.6095,69.78140000000008,0.9773402205024064,0,0,0,0,0.0,0.16666666666666666,-11,11
2004-11-20,2005,NOH,MIN,94,99,0,0.37648886,1435.5984,1623.2352,-187.6368,-0.5044781749560217,1,0,0,0,0.0,0.0,-5,11
2004-11-21,2005,TOR,SAS,96,91,1,0.28728917,1431.0491,1688.8867,-257.83760000000007,-0.9085865020436301,1,0,0,0,1.0,0.75,5,11
2004-11-21,2005,SAC,MIL,88,79,1,0.76631719,1582.6852,1476.3724,106.31279999999992,1.1876314829145243,0,0,0,0,1.0,1.0,9,11
2004-11-21,2005,POR,HOU,93,97,0,0.61113209,1504.3208,1525.7876,-21.46680000000015,0.45207339684257736,0,0,1,1,0.0,0.75,-4,11
2004-11-21,2005,NYK,CLE,98,88,1,0.56396443,1433.8477,1489.1558,-55.30809999999997,0.2572673572497858,0,0,1,1,1.0,0.6666666666666666,10,11
2004-11-21,2005,MIA,PHI,93,83,1,0.80565864,1566.8483,1419.814,147.03430000000003,1.422043923644932,0,0,0,0,1.0,0.8,10,11
2004-11-21,2005,LAC,PHO,111,122,0,0.50722176,1453.8099,1548.7914,-94.9815000000001,0.028889046981377776,0,1,0,-1,0.0,0.5,-11,11
2004-11-21,2005,DET,CHA,117,116,1,0.92797261,1612.2921,1268.2771,344.0149999999999,2.55595574003816,0,0,1,1,1.0,0.75,1,11
2004-11-21,2005,DEN,DAL,110,82,1,0.45066509,1496.6785,1631.0718,-134.39329999999995,-0.19798382435523287,1,0,0,0,1.0,0.6666666666666666,28,11
2004-11-21,2005,BOS,SEA,102,83,1,0.45329258,1455.7073,1588.2578,-132.55050000000006,-0.1873759910189501,1,0,0,0,1.0,0.4,19,11
2004-11-21,2005,LAL,CHI,102,93,1,0.88651305,1582.1608,1325.0651,257.0957000000001,2.0556079850690945,0,0,0,0,1.0,0.75,9,11
2004-11-22,2005,DAL,MIN,82,83,0,0.61230057,1607.5748,1628.187,-20.612199999999802,0.45699291235349726,0,1,0,-1,0.0,0.8,-1,11
2004-11-22,2005,MEM,SAS,93,90,1,0.46411622,1552.4282,1677.4058,-124.97759999999994,-0.14378231606722575,1,0,1,1,1.0,0.5,3,11
